,video_title
614,[페이스캠4K] 뉴진스 하니 'Ditto' (NewJeans HANNI FaceCam) @SBS Inkigayo 230115
615,경복궁 근정전 밝힌 뉴진스…“한국의 미 뽐냈다!” / KBS 2024.05.16.
616,NewJeans 뉴진스 혜인 커버댄스 | 유아(YooA) - ♬숲의 아이(Bon voyage) [놀아줘클럽]
617,NewJeans All Songs Playlist (뉴진스 플레이리스트) (With Lyrics)
618,[에디터픽] 뉴진스 멤버 5명 법원에 탄원서…첫 공식 입장 / YTN
619,[뉴진스] 무대에서 하니에게 일어난 문제에 민지가 한 대처
620,'K팝 위상' 상징된 대기업 하이브...변화와 과제는? / YTN
621,[MPD직캠] 뉴진스 해린 직캠 4K 'Hype Boy' (NewJeans HAERIN FanCam) | @MCOUNTDOWN_2022.8.4
622,[입덕직캠] 뉴진스 하니 직캠 4K 'Attention' (NewJeans HANNI FanCam) | @MCOUNTDOWN_2022.8.11
623,[뉴진스/하니] 미션못할까봐 혼자 긴장해서 웃질못하는 팜하니ㅠㅠ
624,1분안에 알아보는 뉴진스 춤 실력 성장과정ㄷㄷ
625,"뉴진스, 이번엔 표절 의혹 제기 논란"
626,NewJeans (뉴진스) - Ditto (R&B trap remix by jis jeong)
627,[ENG/JP] 뉴진스 민지 못하는게 뭔지? feat. Ditto 최초 공개 ⚡아이돌 출발 드림팀⚡ [EP.5-1] | Idol's Physical Race | NewJeans
628,한국에서 더 잘하자 터져버린 해외 반응
629,"[뉴진스 NewJeans 무대 ] 에스파 aespa,이영지,BOYNEXTDOOR, 실리카겔,스테이씨 Reaction @231202 2023 mma 멜론뮤직어워드 직캠"
630,[뉴진스] 하니 놀리는 민지 모음
631,"뉴진스, 법원에 개인 명의 탄원서 제출 / KBS 2024.05.18."
632,NewJeans (뉴진스) 'INTRO+OMG' Stage Cam @ 2023 Weverse Con Festival
633,"법정 간 민희진 논란...""뉴진스 보호"" VS ""돈벌이 수단"" / YTN"
634,[얼빡직캠 4K] 뉴진스 민지 'Attention' (NewJeans MINJI Facecam) @뮤직뱅크(Music Bank) 220805
635,eng)코카콜라 맛있다. 맛있으면 또 먹어 NewJeans (뉴진스) - Zero MV reaction 리액션
636,"""방시혁, 뉴진스 인사 무시?""…""아일릿 새 안무, 죄다 복붙"" 폭발 / SBS / 모아보는 뉴스"
637,(Full Focused) NewJeans(뉴진스) 'Attention' 4K | BE ORIGINAL
638,[에디터픽] 뉴진스 멤버 5명 법원에 탄원서..분쟁 개입 신호탄? / YTN
639,[안방1열 풀캠4K] 뉴진스 'Cookie' (NewJeans FullCam)│@SBS Inkigayo 220807
640,NewJeans (뉴진스) - Cookie | KCON 2022 SAUDI ARABIA
641,[Light Jeans] NewJeans (뉴진스) 'Hype Boy' MV Reaction
642,[4K] 뉴진스 'Attention' 뮤직뱅크 1위 앵콜 직캠 (NewJeans Encore Fancam) @MusicBank 220819
643,[BTN뉴스] 우리학교에 뉴진스님 오신 날 “자랑하고 싶어요”
644,[MPD직캠] 뉴진스 하니 직캠 4K 'Cookie' (NewJeans HANNI FanCam) | @MCOUNTDOWN_2022.8.4
645,[뉴진스] 🐻민지 ESTJ 모먼트.zip 2편 (Newjeans Minji MBTI)
646,"“결국 지나갈 거야”.... 뉴진스 다니엘X민지, 하이브vs민희진 분쟁 속 심경고백 #newjeans #minheejin #hybe"
647,아일릿 멤버가 뉴진스 안티글을 보다가 실수했다고?
648,[K-Fancam] 뉴진스 민지 직캠 'Attention' (NewJeans MINJI Fancam) l @MusicBank 220805
649,연등회 한마당ㅣ극락도 樂이다 #부처핸섬 #뉴진스님 (2024년 5월 12일)
650,뉴진스(NewJeans) - 노세노세
651,"[#유퀴즈온더블럭] ""고통을 이겨냈더니 극!락!왕!생!"" 전 세계 불교계의 러브콜 받으며 제2의 전성기 맞이한 뉴진스님✨"
652,[뉴진스] MAMA에서 4세대 걸그룹 노래 커버한 뉴진스 #shorts
653,[제37회 골든디스크] NewJeans - 'Opening + Attention (Golden Disc ver.) + Hype Boy + OMG' ♪｜JTBC 230107 방송
654,[안방1열 직캠4K] 뉴진스 민지 'Attention' (NewJeans MINJI FanCam) @SBS Inkigayo 220807
655,확신의 고양이상 강해린 귀엽고 웃긴 모먼트 모음 zip
656,"""'뉴진스' 성공 예상했다""…K-POP의 지휘자 '프로듀서 민희진' / SBS / 초대석"
657,"“하이브, 뉴진스 차별대우” vs “민희진, 뉴진스 방패막이” 법정공방 / KBS 2024.05.18."
658,"아이돌vlog)뉴진스 멤버 광고 통편집 해명, 다이소 엠버서더 된 근황 브이로그"
659,민지&혜인 X 제이홉 'on the street' 챌린지. 뉴진스와 방탄 조합이라니 좋다ㅎㅎ 셋 다 넘 귀여움ㅋㅋ #홉진스 #BTS #jhope #NewJeans #뉴진스
660,[뉴진스] 하니 담당 한국어 선생님들 모음
661,"💙청룡영화상 뉴진스 무대, 배우들 반응 모음💙"
662,"뉴진스 전원, 법원에 탄원서…민희진에 힘 실은 듯 [MBN 뉴스센터]"
663,이게 진짜 키라고?ㄷㄷ 뉴진스 멤버들 키 공개되자마자 난리난 이유
664,ASAP
665,[ENG/JP] 오늘은 돈쓰는 날💰 feat.뉴진스 미공개 클립 ⚡아이돌 출발 드림팀⚡ [EP.5-3] | Idol's Physical Race | NewJeans | OMG
666,하이브 감사 시작 전 주식 전부 판 어도어 부대표｜지금 이 장면
667,[안방1열 풀캠4K] 뉴진스 'OMG' (NewJeans FullCam)│@SBS Inkigayo 230129
668,고장난 스텝 챌린지 ㅋㅋㅋㅋ#뉴진스
669,'부처핸섬' 인기 얻고 밈도 섭렵…젊어진 부처님오신날 [MBN 뉴스7]
670,[뉴진스] 피식하면 끝난 겨 EP.3
671,[KPOP IN PUBLIC | ONE TAKE] NewJeans (뉴진스) 'Attention' - Dance Cover by KD Center from Poland
672,Ditto - NewJeans(뉴진스) (KY.29066) / KY Karaoke
673,"""부처님도 씰룩거리시겠다ㅋㅋㅋ""…SNS 난리 난 불교 근황 / SBS / 모아보는 뉴스"
674,뉴진스 Attention 뮤비 표절
675,[페이스캠4K] 뉴진스 해린 'OMG' (NewJeans HAERIN FaceCam) @SBS Inkigayo 230115
676,"🐰뉴진스 하니에게 입덕했다면 꼭 봐야할 귀여운 하니어, 말투 모음집 최신판 🐰"
677,Newjeans(뉴진스) 하니 X Colde(콜드) - '와르르♥' | Newjeans HANNI X Colde - 'WA-R-R'
678,"“하이브, 뉴진스 차별대우” vs “민희진, 뉴진스 방패막이” 법정공방 / KBS 2024.05.17."
679,"뉴진스님 ""극락도 락""...세상 '힙'한 불교 행사 [이슈PLAY] / JTBC News"
680,[앵콜캠4K] 뉴진스 'Attention' 인기가요 1위 앵콜 직캠 (NewJeans Encore Fancam) | @SBS Inkigayo_2022.08.21.
681,아미 이어 이번에는 버니즈 나섰다…하이브서 “뉴진스 지지” 경영진 갈등→혜인 부상까지.. 악재에도 뉴진스 컴백 준비 이상 無 #newjeans
682,"“하이브, 뉴진스 차별대우” vs “민희진, 뉴진스 방패막이” 법정공방 [9시 뉴스] / KBS 2024.05.17."
683,진짜가 나타났다..❗️뉴진스 담당쌤이 알려주는 ✨진짜✨ 뉴진스st 메이크업 + 어디에서 볼 수 없는 꿀팁❤️ :: Real NewJeans Makeup
684,NewJeans I LG gram : 그램Style 뉴진스 리미티드 에디션 출시 기념 '아름다워' Official M/V
685,"뉴진스, 칸예, 지디도 팬 인증! 30년째 가장 잘 팔리는 예술가 '무라카미 다카시' 이야기"
686,"[단독] 정부, '안무저작권 지침' 만든다…'뉴진스 사태'로 연말까지 가이드라인 마련"
687,[페이스캠4K] 뉴진스 해린 'Cookie' (NewJeans HAERIN FaceCam) @SBS Inkigayo 220807
688,[K-Fancam] 뉴진스 하니 직캠 'Ditto' (NewJeans HANNI Fancam) l @MusicBank 230120
689,⚠️NEWJEANS (뉴진스) - BUBBLE GUM [10D USE HEADPHONES!] 🎧
690,"[뉴진스] 실시간 충격 뉴진스 ""계약해지 전문변호사 선임"" (""New Jeans"" prepares a lawsuit to terminate contract with HYBE)"
691,"[이슈플러스] 하이브·민희진 법정공방...""뉴진스 차별"" vs ""사익 위해 이용"" / YTN"
692,"뉴진스, 탄원서로 첫 입장 표명...방시혁 ""민희진, 악의적 행동"" / YTN"
693,"뉴진스 1위곡 vs 2위곡, 여러분의 선택은? #뉴진스 #newjeans #쇼츠 #shorts"
694,[자막뉴스] 법원에 등장한 뉴진스 이름 '깜짝'...민희진 지키려 직접 나섰나? / YTN
695,"[자막뉴스] ""네 커플 탄생했어요""...MZ 몰린 불교 행사 정체 / YTN"
696,"뉴진스, 탄원서로 첫 입장 표명...방시혁 ""민희진, 악의적 행동"" / YTN"
697,"핑크퐁VS아기상어, 뉴진스의 새 멤버는 누가 될까? | 뉴진스가 직접 알려주는 Attention(어텐션) 안무 포인트 | 뉴진스의 댄스클래스(4K) | 핑크퐁 Dance Alive"
698,법원에 탄원서 낸 뉴진스 멤버들 #Shorts (MBC뉴스)
699,[안방1열 직캠4K] 뉴진스 하니 'Cookie' (NewJeans HANNI FanCam) @SBS Inkigayo 220807
700,"2022 AKARAKA 아카라카 뉴진스 New Jeans Full? ver. 민지야 사랑해....Attention, Cookie, Hurt, Hype boy ✨VIP 1열시점✨"
701,"""부처핸섬"" ""나는 절로""...MZ 사로잡은 '힙'한 불교 / YTN"
702,NewJeans (뉴진스) 'Ditto' Dance Practice
703,"뉴진스 결국 법정으로? 멤버 전원, 탄원서 냈다 | 이슈픽 zip"
704,"NewJeans 뉴진스 2022 MMA (Cookie + Hype boy + Attention) Stage Reaction ( IVE, STAYC, ATBO, 임영웅, 멜로망스)"
705,"[자막뉴스] 김호중, 사고 전 유흥주점 갔다...새 녹취 터지자 소속사가 낸 입장 / YTN"
706,뉴진스(NewJeans)만 보면 하트💖가 튀어나와~ 귀엽고 사랑스런 뉴깅이들 하고 싶은 거 다해~요약ZIP EP.1(SUB)ㅣ#뉴진스코드in부산 #뉴진스컴백축하해
707,[ENG]최초공개! #뉴진스 혜인의 가방 속을 처음 공개합니다. 혜인이가 좋아하는 최애 키링들부터 민지 언니에게 선물 받은 아이템까지. 귀염막둥이의 가방 속에는 무엇이?
708,"[뉴스 ‘꾹’] ""엑스레이 보니 남편 몸속에.."" '투플' 한우 먹다 ""뚜둑"" 경악 (2024.05.15/MBC뉴스)''"
709,하이브 - 민희진 법정서 정면충돌…뉴진스 놓고 감정싸움 / 연합뉴스TV (YonhapnewsTV)
710,"하이브, 뉴진스 긴 휴가 제안 폭로한 엄마 (+삼프티)"
711,1부 뉴진스 지켜 2부 자전거 쇼핑 3부 흑자명화
712,‘이거 진짜야?’ 순식간에 모든 게 사라졌다..최악의 공포 덮친 美 [세계는 날리지]
713,뉴진스[NewJeans] 대선배라 불리는 일본 걸그룹
714,"[단독]김호중, 사고 직전 유흥주점 들렀다 | 뉴스A"
715,NewJeans (뉴진스) 'Cool With You' & 'Get Up' Official MV (side B)
716,"하이브-민희진 첫 법정 다툼... ""뉴진스 가스라이팅"" vs""차별 대우"" [이슈PLAY] / JTBC News"
717,"[이슈] 민희진 ""뉴진스만 차별"" vs 하이브 ""가스라이팅을 모녀관계로"" / '음반 밀어내기 의혹' '무속 경영' 원색적 법정공방 /2024년 5월 18일(토)/KBS"
718,"하이브 - 민희진 법정공방…""뉴진스 차별"" vs ""가스라이팅"" / 연합뉴스TV (YonhapnewsTV)"
719,NewJeans (뉴진스) 'OMG' MV Reaction
720,'뉴진스 맘' 민희진 대표 아닌 현실 부모님들의 이야기를 들어보자 (맴찢) #shorts #뉴진스 #방시혁
721,[이슈 직진] 뉴진스 멤버 전원 탄원서...법원이 누구 손 들어줄까? #shorts #뉴스센터 | MBN 240518 방송
722,A film by NewJeans 🎬 출연: 뉴진스 / 촬영: 뉴진스 / 편집: 뉴진스 #NewJeans #뉴진스 #NewJeans_OMG #NewJeans_Ditto
723,뉴진스의 신곡 Supernatural 작사•작곡에 참여한 퍼렐 윌리엄스(Pharrell williams)
724,"[뉴스 '꾹'] ""한가인 씨에 죄송"" 폭발한 PD들..""방송재개 안 되면 강경투쟁"" (2024.05.14/MBC뉴스)"
725,"뉴진스님 따라 ""부처 핸섬""... 세상 '힙'한 불교인들 #shorts / 연합뉴스TV (YonhapnewsTV)"
726,NewJeans (뉴진스) The 37th GOLDEN DISC AWARDS Dance Practice
727,OMG step challenge 🅾️❎ #NewJeans #뉴진스 #NewJeans_OMG #NewJeans_Ditto#Year_of_NewJeans
728,"이벤트로 코인 받았을 뿐인데…'400억 세금' 내라는 국세청, 왜 / JTBC 뉴스룸"
729,[자막뉴스] 눈부신 K팝 이면엔...고스란히 드러난 민낯 / YTN
730,"[이슈] 하이브-민희진, ‘대표 해임’가처분 오늘 심문/Min Heejin having a court hearing against HYBE/2024년 5월17일(금)/KBS"
731,민희진 운명의 날…가처분 심문｜지금 이 장면
732,"민희진 ""외부 투자 제안?…투자와 무관한 사적인 자리"" / SBS / 굿모닝연예"
733,[단독]김호중 뺑소니 입건…사라진 블랙박스 메모리카드 | 뉴스A
734,"""어서와~ 불교 EDM은 처음이지?""... 조계종도 뉴진스님 대환영 #shorts / 연합뉴스TV (YonhapnewsTV)"
735,"검찰 향해 역정낸 김성태 ""우리가 봉이냐고, 정치인한텐 말도 못하는 것들이""…징역 3년 6개월 구형 받고 한 말 (현장영상) / SBS"
736,민희진.. 뉴진스 개ㅆ욕 카톡내용 🤦‍♀️ | 뉴진스 맘이라더니 이게 현실 | 감성팔이만 하면 선동되는 대한민국
737,"#뉴진스 이 정도면 국가유산! (KBS 2024 Korea On Stage, NewJeans stage making)"
738,[오늘세계는] 이슬람 국가 말레이시아가 뉴진스님 입국 금지한 속사정은? -구정은 국제전문기자ㅣKBS 240517 방송
739,[뉴진스] 하니가 고른 뉴진스 최고의 무대는?
740,"#뉴진스, KBS '2024 코리아 온 스테이지' 경복궁 근정전 메이킹 필름 공개 | KBS 2024 Korea On Stage, NewJeans Making Film"
741,[뉴진스] 욕심쟁이 다람쥐
742,뉴진스 하니(Hanni) - 가끔 난 날 안 믿어(Nothing Matters) / 씨잼(C JAMM) [AI COVER]
743,자기 파트에 딴짓하는 뉴진스 하니 논란
744,하이브 vs 민희진 싸움에 뉴진스 등 터지다...
745,"부처님 오신 날, 뉴진스님 보고 극락가소서🤩"
746,뉴진스 하니가 작작년에 받은 것은?
747,한국을 사랑하는 뉴진스
748,뉴진스 하니(Hanni) - 끽 (feat. 민지) / 씨잼(C JAMM) (feat. Yescoba) [AI COVER]
749,"뉴진스, 걸그룹 최초 경복궁 근정전 앞에서 공연 / 연합뉴스TV (YonhapnewsTV)"
750,"법정서 맞붙은 하이브·민희진 측…""차별 대우""·""가스라이팅"" / SBS / #D리포트"
751,[버니즈로그] NewJeans👖💙덕질로그 뉴진스 다니엘 & 혜인 & 해린 & 민지 & 캣닢즈 생일 카페 투어 브이로그
752,뉴진스 하니 - 넌 쉽게 말했지만 | 윤상 | AI Cover
753,"[뉴스포커스] 김호중 ""음주운전 한 것 맞다""…입장 변화 이유는? / 연합뉴스TV (YonhapnewsTV)"
754,레고로 만든 뉴진스 버블껌 #뉴진스 #newjeans #버블검 #bubblegum #뮤직비디오 #레고스톱모션
755,뉴진스를 보는 각종 커뮤니티 반응
756,￼뉴진스 메인댄서는 하니? 해린?
757,|하남댄스학원| NewJeans (뉴진스) 'Cookie' |걸스힙합| |BUZZER BEATER DANCE| (하남미사댄스학원)
758,뉴진스 민지-Strawberries & Cigarettes(Troy sivan) AI cover
759,NewJeans (뉴진스) ‘Bubble Gum’ (dese Remix)
760,NCT U 엔시티 유 'Baggy Jeans' MV
761,'부처핸섬' 인기 얻고 밈도 섭렵…젊어진 부처님오신날 [굿모닝 MBN]
762,"[뉴스초점] 김호중 ""진실 밝혀질 것"" 첫 입장…오늘도 공연 강행 / 연합뉴스TV (YonhapnewsTV)"
763,뉴진스 해린- 그러는 그대는 (IU) AI COVER
764,Bubble Gum - NewJeans(뉴진스) (cover)
765,"3년 연속 5·18 기념식 찾은 尹‥ ""오월 정신, 자유민주주의 꽃"" - [풀영상] MBC 뉴스데스크 2024년 05월 18일"
766,𝗣𝗹𝗮𝘆𝗹𝗶𝘀𝘁 • 소녀들의 취향을 가득 담아 | 뉴진스의 추천곡 NewJeans
767,2024 미스춘향 (진) 미모의 김정윤님 뉴진스(NewJeans) Super Shy 무대
768,"""떨어졌을 때 들어가야""...미국 증시 투자 전략[염블리의 비밀노트/5월 3주차 ②]"
769,청량함을 집어 삼키고 어텐션 느낌으로 돌아온 뉴진스🫧🫧 #newjeans #bubblegum
770,"[핫클릭] 뉴진스, 걸그룹 최초 경복궁 근정전 공연 外 / 연합뉴스TV (YonhapnewsTV)"
771,"[다시보기] 뉴스룸｜""윤 대통령 임기부터 1년 줄이자"" 조국이 쏘아올린 '개헌론' (24.5.17) / JTBC News"
772,"MBN 뉴스센터 [다시보기] 윤 대통령 5·18 기념식 3년 연속 참석…""풍요로운 미래가 오월 정신의 계승"" - 2024.5.18 방송"
773,"트로트 가수 김호중, 뺑소니 후 운전자 바꿔치기 의혹 [아침&매일경제]"
774,[😡뒤질래]민희진 뉴진스 이를 추종하는 짐승들 _ 살포시 즈려밟고 나락가자/구제불능이다
775,[1시간] NewJeans (뉴진스) 'Bubble Gum' / 𝑝𝑙𝑎𝑦𝑙𝑖𝑠𝑡🫧
776,[Playlist] New jeans 앨범 몰아듣기
777,Bubble Gum (New Jeans) / 뉴진스 / Lily Sue
778,불교가 이럴 줄은.. 뉴진스님에 난리난 이유 [shorts]
779,발소리만 듣고 뉴진스 안무 맞추기 가능?? #NEWJEANS #shorts
780,전화로 분량 톡톡히 챙기는 귀여운 막내 혜인이 #할명수 #뉴진스
781,NewJeans (뉴진스) 'Gray' (AI)
782,뉴진스 좋아 버블검 좋아🫧💙 #newjeans #뉴진스 #bubblegum #버블검 #cover #kpop #kpopcover #음악 #노래 #노래추천 #플레이리스트 #커버
783,"[가사ASMR] 뉴진스, Bubble Gum / New Jeans' Bubble Gum"
784,민희진 대표 뉴진스 험담 카톡 내역 공개 [사실이라면 법적으로 불리해질 가능성이 농후하다] #shorts
785,"[이슈 직진] ""외쳐! 부처핸섬!"" 젊은 세대 사로잡은 '힙한 불교' #shorts #뉴스7 | MBN 240515 방송"
786,민지언니 해줘 #Hanni #ハニ #NewJeans
787,버니즈는 다 알아야 하는 뉴진스 해린의 숨은 매력 포인트 #버니즈 #뉴진스 #해린 #앞니 #총생
788,"[다시보기] 뉴스룸｜경찰, 순직 채상병 상관 대질조사…""해병대 수사문건에 상급 부대 지침"" (24.5.19) / JTBC News"
789,NewJeans (뉴진스) 'Get Up (Full Version/AI COVER)' Official MV @sanathathoe
790,새벽까지 버니즈에게 노래해준 팜하니
791,뉴진스 하니(Hanni) - 끽 (feat. 민지) / 씨잼(C JAMM) (feat. Yescoba) [AI COVER] #shorts
792,뉴진스 하니(Hanni) - 가끔 난 날 안 믿어(Nothing Matters) / 씨잼(C JAMM) [AI COVER] #shorts
793,(나의체) 인어공주 한글버전 가사 써보기 (뉴진스 다니엘 버전) #kpop #Danielle #뉴진스 #다니엘
794,'최초 공개' NCT U - Intro + Baggy Jeans #엠카운트다운 EP.812 | Mnet 230831 방송
795,[쩜상 시크릿] 불타오르는 음식료주 이제 시작 ! 전선 랠리 고점은 언제까지???? #삼양식품 #ls에코에너지
796,NewJeans (뉴진스) - Bubble Gum (1 HOUR LOOP) Lyrics | 1시간 가사
797,팜르렁 #뉴진스 #하니 #해린 #혜인 #Newjeans 🎥 [Jeans' ZINE] 조금 이른 봄놀이 EP.2 비가 와도 직진 직진🛶 ｜ NewJeans
798,4명만 나온다고 활동 중단 컴백 함께하지 않아 뉴진스 멤버
799,[뉴진스 하니&해린&혜인] 욕심쟁이 다람쥐 🐿
800,뉴진스 멤버 5명 법원에 탄원서...
801,뉴진스 뮤비에 늘 함께했던 아이템이 있다고?
802,"데뷔부터 3월까지 뉴진스 멤버 인기순위 From our debut until now, who is the member of NewJeans 22 8~24 3브랜드평판#민희진"
803,🌟스톤헨지X뉴진스 AR필터🌟 #stonehenge #newjeans #selfie
804,뉴진스 감독 입장 밝혔다
805,공개된 아일릿 새 안무에 나온 반응 #shorts
806,뉴진스가 아이브때매 망한 이유 TOP7
807,[풀영상] 뉴스광장 : 이란 대통령 헬기 추락…미·유럽 ‘촉각’ - 2024년 5월 20일(월) / KBS
808,킬포가 너무 많은 버블검 뮤비 #뉴진스 #민지 #하니 #다니엘 #해린 #혜인 #버니즈 #팜니쥬 #PhamneedU #PNU #NJS #newjeans
809,"[자막뉴스] ""무례함 선 넘었다"" 피식대학, 지역 비하 뭐길래? / 채널A"
810,왜.. 물어본거야? #뉴진스 #민지 #혜인 #Newjeans 🎥 [ENG SUB] 기분이 나쁠 땐？ 뉴진스를 보세요😉👈🏻 ｜ 아이돌 인간극장
811,뉴진스 노래모음 (가사포함) | NewJeans Playlist (Korean Lyrics)
812,"방시혁 하이브 아티스트 SNS 차별논란, 왜 뉴진스만 없을까? #shorts #르세라핌 #뉴진스"
813,"[에디터픽] 김호중 ""술잔에 입 댔지만 안 마셨다""..검찰총장 대행 출신 변호사 선임 / YTN"
814,"[이슈 Pick? Pick!] 3년 연속 5·18 기념식 찾은 尹‥""오월 정신, 자유민주주의 꽃"" (2024.05.18)"
815,【NewJeans】[8K HBR] Be Who You Are @Music Video
816,"[오늘세계는] 풀영상 - 중-러 정상, 회담에서 협력 강화키로 + 클럽에서 공연하는 뉴진스님, 입국 금지 호소한 말레이시아 속사정 外ㅣKBS 240517 방송"
817,뉴진스 이번 신곡 레전드다ㅠ#뉴진스#bubble gum#하루한끼#shorts
818,[미리보는오늘] 박정훈 전 해병대수사단장 4차 공판...'민희진·하이브' 의결권 행사금지... / YTN
819,🔴 다시 보는 주간 '조회수HOT' - 2024년 5월 19일 / SBS
820,뉴진스 - Ditto (1시간) / 가사 Lyrics
821,NewJeans 'Bubble Gum' Lyrics (Color Coded Lyrics Eng/Rom/Han)
822,𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 내가 들으려고 만든 뉴진스 노래모음 (1Hour Loop)
823,[1 HOUR] NewJeans (뉴진스) 'Bubble Gum' Lyrics (뉴진스 Bubble Gum 가사) [Color Coded Han_Rom_Eng]
824,"김호중 뺑소니 논란, 일파만파...하이브-민희진 사태 분수령 / YTN"
825,[자막뉴스] ＂부처핸섬!＂ 젊어진 부처님 오신 날 풍경 어땠나? | 이슈픽
826,김주하 AI 앵커가 전하는 5월 17일 MBN 뉴스7 주요뉴스
827,2일차 버니즈의 뉴진스 포카 챌린지! 최애부터 오애까지 맞춰보세요! #뉴진스 #하니 #민지 #해린 #혜인 #다니엘
828,뉴진스 해린 앗 네
829,뉴진스 해린 강해린 신기한 윙크 모음
830,newjeans - bubble gum (cover)
831,뉴진스 해린 강해린 신기한 윙크 모음
832,제 방 페인트칠 중 3시간 넘게 걸렸어여ㅠ #newjeans #뉴진스 #버니즈#떡상떡상떡상
833,뉴진스의 버블검
834,마침내 바다를 벗어난 다니에리얼
835,[𝗡𝗲𝘄𝗝𝗲𝗮𝗻𝘀 𝗣𝗹𝗮𝘆𝗹𝗶𝘀𝘁] 뉴진스 노래 모음🐰 (전곡 | All Songs)
836,"난 행운아야 정말로 I know, I know (최종 ver.)"
837,[명훈] 스킬먹고 인생역전 ㄷㄷ 오늘 생일 폭풍성장 갈게요!! 악놀2
838,"다가오는 여름을 기다리며 듣는 재즈플리🏖️ SUMMER JAZZ l Jazz Piano Music for Cafe Study, Work, Focus💕"
839,오늘도 건실한 마음으로
840,"흔한 일반인이 직접 부른 “NewJeans - Bubble Gum"" 🫧 #cover #vocal #newjeans #hybe #kpop #covervocal"
841,𝗧𝘂𝗲𝘀𝗱𝗮𝘆 𝗝𝗮𝘇𝘇 | 출근해서 틀어놓으면 하루 뚝딱..! 퇴근이 빨리 다가오는 재즈플리😀 | Tuesday Jazz Playlist
842,쁘띠 마망
843,Karaoke!
844,"💻일할 때 듣기 좋은 재즈플레이리스트🥰 l Relaxing Jazz Piano Music for Study, Work, Focus"
845,마음이 안정되고 기분 좋아지는 음악🌲하루10분 만병을 치료 해주는 힐링 명상 기치료 음악 및 영상 - 아침음악 - 힐링음악 - 명상음악 - 스트레스해소음악
846,뉴욕의 연인들 (2011)
847,(New Jeans) 뉴진스 다니엘 입덕모음.zip2📂
848,"Playlist: 아침에 듣기 좋은 상쾌한 팝송 모음 🍀 도입부 부터 좋은, 적당히 리듬타는 노래 모음"
849,해린은 어떻게 뉴진스 대표 춤꾼이 되었을까?
850,슈가 앤 스타
851,민지 걱정하는 팜 #뉴진스 #민지 #하니 #다니엘 #해린 #혜인 #버니즈 #팜니쥬 #PhamneedU
852,MIN HEEJIN WILD SHOCKING KAKAO CHAT (ALLEGEDLY) ABOUT NEWJEANS & BUNNIES NEWJEANS에 대한 충격적인 카카오톡 채팅
